route_station_id,station_seq,is_start,is_end,route_id,station_id
247,7,0,0,100000017,100000402
248,8,0,0,100000017,101000006
249,9,0,0,100000017,101000031
250,10,0,0,100000017,101000315
251,11,0,0,100000017,101000312
252,12,0,0,100000017,101000313
253,13,0,0,100000017,100000403
254,14,0,0,100000017,100000404
255,15,0,0,100000017,100000405
256,16,0,0,100000017,100000406
257,17,0,0,100000017,105000553
258,18,0,1,100000017,101000314
259,1,1,0,100000018,101000308
260,2,0,0,100000018,103000511
261,3,0,0,100000018,104000300
262,4,0,0,100000018,123000045
263,5,0,0,100000018,123000641
264,6,0,0,100000018,123000642
265,7,0,0,100000018,123000643
266,8,0,0,100000018,104000301
267,9,0,0,100000018,103000512
268,10,0,1,100000018,103000513
269,1,1,0,100000020,100000419
270,2,0,0,100000020,100000415
271,3,0,0,100000020,100000416
272,4,0,0,100000020,100000417
273,5,0,0,100000020,100000418
274,6,0,1,100000020,100000420
275,1,1,0,100000024,109000406
276,2,0,0,100000024,109000001
277,3,0,0,100000024,109000003
278,4,0,0,100000024,109000005
279,5,0,0,100000024,109000007
280,6,0,0,100000024,109000019
281,7,0,0,100000024,109000009
282,8,0,0,100000024,109000011
283,9,0,0,100000024,109000013
284,10,0,0,100000024,109000015
285,11,0,0,100000024,109000017
286,12,0,0,100000024,108000001
287,13,0,0,100000024,108000378
288,14,0,0,100000024,108000003
289,15,0,0,100000024,108000005
290,16,0,0,100000024,108000007
291,17,0,0,100000024,108000009
292,18,0,0,100000024,108000011
293,19,0,0,100000024,107000001
294,20,0,0,100000024,107000003
295,21,0,0,100000024,107000005
296,22,0,0,100000024,107000007
297,23,0,0,100000024,107000009
298,24,0,0,100000024,100000005
299,25,0,0,100000024,100000003
300,26,0,0,100000024,100000002
301,27,0,0,100000024,100000102
302,28,0,0,100000024,100000393
303,29,0,0,100000024,100000391
304,30,0,0,100000024,100000389
305,31,0,0,100000024,100000387
306,32,0,0,100000024,100000385
307,33,0,0,100000024,100000379
308,34,0,0,100000024,101000305
309,35,0,0,100000024,112000429
310,36,0,0,100000024,113000010
311,37,0,0,100000024,113000008
312,38,0,0,100000024,113000006
313,39,0,0,100000024,113000004
314,40,0,0,100000024,113000002
315,41,0,0,100000024,118000008
316,42,0,0,100000024,118000067
317,43,0,0,100000024,118000006
318,44,0,0,100000024,118000005
319,45,0,0,100000024,118000076
320,46,0,0,100000024,118000007
321,47,0,0,100000024,113000001
322,48,0,0,100000024,113000003
323,49,0,0,100000024,113000005
324,50,0,0,100000024,113000007
325,51,0,0,100000024,113000009
326,52,0,0,100000024,112000430
327,53,0,0,100000024,101000304
328,54,0,0,100000024,100000380
329,55,0,0,100000024,100000384
330,56,0,0,100000024,100000386
331,57,0,0,100000024,100000388
332,58,0,0,100000024,100000390
333,59,0,0,100000024,100000392
334,60,0,0,100000024,100000394
335,61,0,0,100000024,100000109
336,62,0,0,100000024,100000108
337,63,0,0,100000024,100000123
338,64,0,0,100000024,100000124
339,65,0,0,100000024,100000133
340,66,0,0,100000024,107000010
341,67,0,0,100000024,107000008
342,68,0,0,100000024,107000006
343,69,0,0,100000024,107000004
344,70,0,0,100000024,107000002
345,71,0,0,100000024,108000012
346,72,0,0,100000024,108000010
347,73,0,0,100000024,108000008
348,74,0,0,100000024,108000006
349,75,0,0,100000024,108000004
350,76,0,0,100000024,108000002
351,77,0,0,100000024,109000018
352,78,0,0,100000024,109000016
353,79,0,0,100000024,109000014
354,80,0,0,100000024,109000012
355,81,0,0,100000024,109000010
356,82,0,0,100000024,109000020
357,83,0,0,100000024,109000008
358,84,0,0,100000024,109000006
359,85,0,0,100000024,109000004
360,86,0,0,100000024,109000002
361,87,0,1,100000024,109000408
